epoch: 157, step: 8256, time: 25.6, train: 1.154, valid: 1.584, train_acc: 0.983, valid_acc: 0.910
epoch: 158, step: 8308, time: 24.6, train: 1.142, valid: 1.641, train_acc: 0.987, valid_acc: 0.904
epoch: 159, step: 8360, time: 27.3, train: 1.146, valid: 1.644, train_acc: 0.986, valid_acc: 0.905
epoch: 160, step: 8412, time: 27.5, train: 1.148, valid: 1.651, train_acc: 0.985, valid_acc: 0.902
epoch: 161, step: 8465, time: 25.3, train: 1.144, valid: 1.646, train_acc: 0.986, valid_acc: 0.905
epoch: 162, step: 8518, time: 22.9, train: 1.156, valid: 1.614, train_acc: 0.983, valid_acc: 0.908
epoch: 163, step: 8571, time: 25.5, train: 1.144, valid: 1.655, train_acc: 0.986, valid_acc: 0.904
epoch: 164, step: 8624, time: 25.8, train: 1.147, valid: 1.689, train_acc: 0.985, valid_acc: 0.899
epoch: 165, step: 8676, time: 24.6, train: 1.148, valid: 1.650, train_acc: 0.985, valid_acc: 0.906
epoch: 166, step: 8728, time: 23.0, train: 1.140, valid: 1.611, train_acc: 0.987, valid_acc: 0.908
epoch: 167, step: 8780, time: 25.6, train: 1.145, valid: 1.654, train_acc: 0.986, valid_acc: 0.903
epoch: 168, step: 8833, time: 24.0, train: 1.146, valid: 1.717, train_acc: 0.985, valid_acc: 0.897
epoch: 169, step: 8886, time: 23.2, train: 1.139, valid: 1.538, train_acc: 0.987, valid_acc: 0.918
epoch: 170, step: 8938, time: 26.1, train: 1.141, valid: 1.655, train_acc: 0.987, valid_acc: 0.905
epoch: 171, step: 8990, time: 22.9, train: 1.145, valid: 1.655, train_acc: 0.986, valid_acc: 0.903
epoch: 172, step: 9043, time: 24.2, train: 1.139, valid: 1.662, train_acc: 0.987, valid_acc: 0.902
epoch: 173, step: 9095, time: 23.0, train: 1.143, valid: 1.613, train_acc: 0.986, valid_acc: 0.910
epoch: 174, step: 9148, time: 25.5, train: 1.140, valid: 1.612, train_acc: 0.987, valid_acc: 0.910
epoch: 175, step: 9201, time: 26.4, train: 1.138, valid: 1.581, train_acc: 0.987, valid_acc: 0.914
epoch: 176, step: 9254, time: 25.8, train: 1.139, valid: 1.641, train_acc: 0.987, valid_acc: 0.905
epoch: 177, step: 9306, time: 23.0, train: 1.139, valid: 1.650, train_acc: 0.987, valid_acc: 0.905
epoch: 178, step: 9358, time: 26.1, train: 1.137, valid: 1.637, train_acc: 0.988, valid_acc: 0.907
epoch: 179, step: 9411, time: 25.8, train: 1.140, valid: 1.665, train_acc: 0.987, valid_acc: 0.903
epoch: 180, step: 9462, time: 22.7, train: 1.137, valid: 1.642, train_acc: 0.988, valid_acc: 0.906
epoch: 181, step: 9514, time: 26.4, train: 1.134, valid: 1.611, train_acc: 0.989, valid_acc: 0.910
epoch: 182, step: 9567, time: 22.8, train: 1.135, valid: 1.630, train_acc: 0.988, valid_acc: 0.908
epoch: 183, step: 9620, time: 23.1, train: 1.136, valid: 1.589, train_acc: 0.988, valid_acc: 0.912
epoch: 184, step: 9673, time: 25.9, train: 1.137, valid: 1.622, train_acc: 0.988, valid_acc: 0.908
epoch: 185, step: 9726, time: 23.1, train: 1.139, valid: 1.693, train_acc: 0.987, valid_acc: 0.900
